Hugo_Symbol	Entrez_Gene_Id	CR6161	CR0095	CR04885	CR06670	CR1509	CR22640	CR3665	CR4880	CR6126	CR9306	CR9699	CRNR0244	CRNR2472	CRNR4941	CR7623	LSD0167	SD0346	SD1494	SD2056	LSD2057	LSD3484	LSD4691	LSD4744	SD6336	LSD6819	LSDNR9298	LSDNR1120	LSDNR1650	LSDNR3086	NR6721	NR9765	NR1867	NR2137	NR3156	NR3549	NR4018	NR4045	NR4083	NR4631	NR4810	NR4949	NR5784	NR6689	NR6842	NR8727	NR8815	NR9341	NR9445	NR9449	NR9521	NR9705	PR03803	PR12117	PR4035	PR4046	PR4077	PR4091	PR4092	SD2051	SD5038	SD5118	SD5934	SD6494	SD7357
C1orf170	84808	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
KLHL17	339451	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
NOC2L	26155	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
PLEKHN1	84069	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
HES4	57801	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
ISG15	9636	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
ACAP3	116983	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
AGRN	375790	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
ANKRD65	441869	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
ATAD3B	83858	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
ATAD3C	219293	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
AURKAIP1	54998	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
B3GALT6	126792	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
C1orf159	54991	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
CCNL2	81669	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
CPSF3L	54973	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
DVL1	1855	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
FAM132A	388581	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
GLTPD1	80772	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
LOC148413	148413	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
LOC254099	254099	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
MIR200A	406983	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
MIR200B	406984	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
MIR429	554210	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
MRPL20	55052	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
MXRA8	54587	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
PUSL1	126789	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
RNF223	401934	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
SCNN1D	6339	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
SDF4	51150	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
TAS1R3	83756	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
TMEM88B	643965	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
TNFRSF18	8784	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
TNFRSF4	7293	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
TTLL10	254173	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
UBE2J2	118424	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
VWA1	64856	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
MIR200A	406983	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
hsa-mir-200b		1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
hsa-mir-429		1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
ATAD3A	55210	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
ACTRT2	140625	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
C1orf233	643988	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
C1orf86	199990	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
CALML6	163688	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
CDK11A	728642	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
CDK11B	984	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
FAM213B	127281	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
FLJ42875	440556	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
GABRD	2563	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
GNB1	2782	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
HES5	388585	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
KIAA1751	85452	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
LOC100129534	100129534	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
LOC100133445	100133445	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
LOC115110	115110	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
MIB2	142678	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
MIR4251	100422968	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
MMEL1	79258	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
MMP23A	8511	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
MMP23B	8510	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
MORN1	79906	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
NADK	65220	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
PANK4	55229	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
PEX10	5192	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
PLCH2	9651	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
PRDM16	63976	1	0	-1	1	0	0	0	-1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
PRKCZ	5590	1	0	-1	1	0	0	0	1	0	-1	1	0	-1	0	0	0	0	0	0	2	-1	0	1	1	1	0	2	1	0	0	-1	0	2	0	0	0	-2	1	0	0	-1	0	0	0	0	0	0	0	0	-2	0	-2	-2	-1	0	-1	-1	0	0	1	0	-1	-1	0
